id
against-drm
cc-by-4.0
cc-by-sa-4.0
cc0-1.0
dsl
fal-1.3
gfdl-1.3-no-cover-texts-no-invariant-sections
miros
odc-by-1.0
odbl-1.0
ogl-canada-2.0
ogl-uk-2.0
ogl-uk-3.0
pddl-1.0
talis
hesa-withrights
localauth-withrights
other-at
other-open
other-pd
ukcrown-withrights
