id
aal
afl-3.0
agpl-3.0
apl-1.0
apsl-2.0
against-drm
apache-1.1
apache-2.0
artistic-2.0
bsd-2-clause
bsd-3-clause
bsl-1.0
bittorrent-1.1
catosl-1.1
cc-by-4.0
cc-by-nc-4.0
cc-by-sa-4.0
cc0-1.0
cddl-1.0
cecill-2.1
cnri-python
cpal-1.0
cua-opl-1.0
dsl
ecl-2.0
efl-2.0
epl-1.0
epl-2.0
eudatagrid
eupl-1.1
entessa
fal-1.3
fair
frameworx-1.0
gfdl-1.3-no-cover-texts-no-invariant-sections
gpl-2.0
gpl-3.0
hpnd
ipa
ipl-1.0
isc
intel
lgpl-2.1
lgpl-3.0
lo-fr-2.0
lpl-1.0
lpl-1.02
lppl-1.3c
mit
mpl-1.0
mpl-1.1
mpl-2.0
ms-pl
ms-rl
miros
motosoto
multics
nasa-1.3
ncsa
ngpl
nposl-3.0
ntp
naumen
nokia
oclc-2.0
odc-by-1.0
odbl-1.0
ofl-1.1
ogl-canada-2.0
ogl-uk-1.0
ogl-uk-2.0
ogl-uk-3.0
ogtsl
osl-3.0
pddl-1.0
php-3.0
postgresql
python-2.0
qpl-1.0
rpl-1.5
rpsl-1.0
rscpl
sissl
spl-1.0
simpl-2.0
sleepycat
talis
unlicense
vsl-1.0
w3c
wxwindows
watcom-1.0
xnet
zpl-2.0
zlib
dli-model-use
geogratis
hesa-withrights
localauth-withrights
met-office-cp
mitre
notspecified
other-at
other-closed
other-nc
other-open
other-pd
ukclickusepsi
ukcrown
ukcrown-withrights
ukpsi
